State,Year,Month,Unemployment Rate,School closing,Workplace closing,Cancel public event,Restriction on gathering,Close public transport,State at home requirement,Restrictions on internal movement,International travel control
Iowa,2022,01,2.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Iowa,2022,02,2.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Iowa,2022,03,2.5,0.6774193548387096,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Iowa,2022,04,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Iowa,2022,05,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Iowa,2022,06,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Iowa,2022,07,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Iowa,2022,08,3,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,1.0
Iowa,2022,09,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Iowa,2022,10,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Iowa,2022,11,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Iowa,2022,12,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kansas,2019,01,3.3,0,0,0,0,0,0,0,0
Kansas,2019,02,3.3,0,0,0,0,0,0,0,0
Kansas,2019,03,3.2,0,0,0,0,0,0,0,0
Kansas,2019,04,3.2,0,0,0,0,0,0,0,0
Kansas,2019,05,3.2,0,0,0,0,0,0,0,0
Kansas,2019,06,3.1,0,0,0,0,0,0,0,0
Kansas,2019,07,3.1,0,0,0,0,0,0,0,0
Kansas,2019,08,3.1,0,0,0,0,0,0,0,0
Kansas,2019,09,3.1,0,0,0,0,0,0,0,0
Kansas,2019,10,3.1,0,0,0,0,0,0,0,0
Kansas,2019,11,3.1,0,0,0,0,0,0,0,0
Kansas,2019,12,3.1,0,0,0,0,0,0,0,0
Kansas,2020,01,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
Kansas,2020,02,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310344827586207
Kansas,2020,03,3.1,1.5806451612903225,1.1290322580645162,1.032258064516129,2.032258064516129,0.41935483870967744,0.12903225806451613,0.5161290322580645,3.0
Kansas,2020,04,12.1,3.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0
Kansas,2020,05,9.1,3.0,2.096774193548387,2.0,3.6774193548387095,1.0,1.096774193548387,1.0,3.0
Kansas,2020,06,7.4,3.0,1.2333333333333334,1.2333333333333334,3.0,1.0,1.0,1.0,3.0
Kansas,2020,07,6.7,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0
Kansas,2020,08,5.8,2.7419354838709675,1.0,1.0,3.0,1.0,1.0,1.0,3.0
Kansas,2020,09,5.4,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0
Kansas,2020,10,4.9,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0
Kansas,2020,11,4.7,2.0,1.0,1.5,3.3666666666666667,1.0,1.0,1.0,3.0
Kansas,2020,12,4.4,2.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0
Kansas,2021,01,4,2.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0
Kansas,2021,02,3.8,2.0,1.0,1.6428571428571428,3.642857142857143,1.0,1.0,1.0,3.0
Kansas,2021,03,3.7,2.0,1.0,1.0,1.2580645161290323,1.0,1.0,1.0,3.0
Kansas,2021,04,3.6,0.3333333333333333,1.0,1.0,0.0,1.0,0.03333333333333333,1.0,3.0
Kansas,2021,05,3.6,0.0,1.0,1.0,0.0,0.967741935483871,0.0,1.0,3.0
Kansas,2021,06,3.5,0.0,0.4,1.0,0.0,0.0,0.8,1.0,3.0
Kansas,2021,07,3.4,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0
Kansas,2021,08,3.3,0.4838709677419355,1.2580645161290323,0.45161290322580644,0.0,0.0,1.0,1.0,3.0
Kansas,2021,09,3.1,1.0,2.0,0.0,0.0,0.0,1.0,0.5666666666666667,3.0
Kansas,2021,10,2.9,1.0,1.1290322580645162,0.0,0.0,0.0,1.0,0.12903225806451613,3.0
Kansas,2021,11,2.7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.7333333333333334
Kansas,2021,12,2.6,0.06451612903225806,1.0,0.0,0.0,0.0,0.3870967741935484,0.0,2.935483870967742
Kansas,2022,01,2.5,0.3225806451612903,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,1.0
Kansas,2022,02,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kansas,2022,03,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kansas,2022,04,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kansas,2022,05,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kansas,2022,06,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kansas,2022,07,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kansas,2022,08,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,1.0
Kansas,2022,09,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kansas,2022,10,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kansas,2022,11,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kansas,2022,12,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kentucky,2019,01,4.2,0,0,0,0,0,0,0,0
Kentucky,2019,02,4.2,0,0,0,0,0,0,0,0
Kentucky,2019,03,4.1,0,0,0,0,0,0,0,0
Kentucky,2019,04,4.1,0,0,0,0,0,0,0,0
Kentucky,2019,05,4.1,0,0,0,0,0,0,0,0
Kentucky,2019,06,4.1,0,0,0,0,0,0,0,0
Kentucky,2019,07,4.1,0,0,0,0,0,0,0,0
Kentucky,2019,08,4.1,0,0,0,0,0,0,0,0
Kentucky,2019,09,4.1,0,0,0,0,0,0,0,0
Kentucky,2019,10,4,0,0,0,0,0,0,0,0
Kentucky,2019,11,4,0,0,0,0,0,0,0,0
Kentucky,2019,12,4,0,0,0,0,0,0,0,0
Kentucky,2020,01,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
Kentucky,2020,02,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.310344827586207
Kentucky,2020,03,4.2,1.3870967741935485,1.5483870967741935,1.3225806451612903,1.6774193548387097,0.3870967741935484,0.3870967741935484,0.7419354838709677,3.0
Kentucky,2020,04,16.8,3.0,3.0,2.0,4.0,1.9333333333333333,2.0,2.0,3.0
Kentucky,2020,05,12.8,3.0,2.3225806451612905,2.0,4.0,2.0,1.6774193548387097,1.1612903225806452,3.0
Kentucky,2020,06,5.3,3.0,1.9333333333333333,1.9333333333333333,3.933333333333333,2.0,1.0,1.0,3.0
Kentucky,2020,07,5.8,3.0,1.1290322580645162,1.0,3.3548387096774195,2.0,1.0,1.0,3.0
Kentucky,2020,08,5.2,2.5161290322580645,1.3225806451612903,1.0,4.0,2.0,1.0,1.0,3.0
Kentucky,2020,09,5,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0
Kentucky,2020,10,4.8,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0
Kentucky,2020,11,4.8,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0
Kentucky,2020,12,4.7,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0
Kentucky,2021,01,4.6,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0
Kentucky,2021,02,4.6,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0
Kentucky,2021,03,4.6,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0
Kentucky,2021,04,4.6,1.1333333333333333,1.0,1.0,0.5333333333333333,1.5666666666666667,0.03333333333333333,1.0,3.0
Kentucky,2021,05,4.5,1.0,1.0,1.0,1.6774193548387097,0.0,0.0,1.0,3.0
Kentucky,2021,06,4.6,0.4666666666666667,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,3.0
Kentucky,2021,07,4.6,0.7096774193548387,1.0,1.0,0.0,0.0,0.0,1.0,3.0
Kentucky,2021,08,4.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
Kentucky,2021,09,4.4,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
Kentucky,2021,10,4.3,1.0,1.0,1.0,0.0,0.0,0.0,0.9032258064516129,3.0
Kentucky,2021,11,4.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7333333333333334
Kentucky,2021,12,4.1,1.0,0.3870967741935484,1.0,0.0,0.0,0.0,0.0,2.935483870967742
Kentucky,2022,01,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Kentucky,2022,02,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kentucky,2022,03,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kentucky,2022,04,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kentucky,2022,05,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kentucky,2022,06,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kentucky,2022,07,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kentucky,2022,08,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,1.0
Kentucky,2022,09,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kentucky,2022,10,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kentucky,2022,11,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Kentucky,2022,12,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Los Angeles County,2019,01,4.7,0,0,0,0,0,0,0,0
Los Angeles County,2019,02,4.6,0,0,0,0,0,0,0,0
Los Angeles County,2019,03,4.5,0,0,0,0,0,0,0,0
Los Angeles County,2019,04,4.4,0,0,0,0,0,0,0,0
Los Angeles County,2019,05,4.4,0,0,0,0,0,0,0,0
Los Angeles County,2019,06,4.4,0,0,0,0,0,0,0,0
Los Angeles County,2019,07,4.4,0,0,0,0,0,0,0,0
Los Angeles County,2019,08,4.4,0,0,0,0,0,0,0,0
Los Angeles County,2019,09,4.4,0,0,0,0,0,0,0,0
Los Angeles County,2019,10,4.5,0,0,0,0,0,0,0,0
Los Angeles County,2019,11,4.6,0,0,0,0,0,0,0,0
Los Angeles County,2019,12,4.7,0,0,0,0,0,0,0,0
Los Angeles County,2020,01,4.9,0,0,0,0,0,0,0,0
Los Angeles County,2020,02,5.1,0,0,0,0,0,0,0,0
Los Angeles County,2020,03,6.2,0,0,0,0,0,0,0,0
Los Angeles County,2020,04,17.4,0,0,0,0,0,0,0,0
Los Angeles County,2020,05,18.9,0,0,0,0,0,0,0,0
Los Angeles County,2020,06,17.6,0,0,0,0,0,0,0,0
Los Angeles County,2020,07,17.8,0,0,0,0,0,0,0,0
Los Angeles County,2020,08,16.8,0,0,0,0,0,0,0,0
Los Angeles County,2020,09,11.1,0,0,0,0,0,0,0,0
Los Angeles County,2020,10,10.8,0,0,0,0,0,0,0,0
Los Angeles County,2020,11,10.8,0,0,0,0,0,0,0,0
